# File Name: BWS_QS6_METHYLATION_001_010125_AB_ICR1,,,,,,,,,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,,,,,,,,,
# Operator: Admin,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,
# Instrument Type:,,,,,,,,,,,,,,,,,,,,
# Block Type: 384-Well Block,,,,,,,,,,,,,,,,,,,,
# Instrument Name,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number:,,,,,,,,,,,,,,,,,,,,
# Heated Cover Serial Number:,,,,,,,,,,,,,,,,,,,,
# Block Serial Number:,,,,,,,,,,,,,,,,,,,,
# Run Start Date/Time:,,,,,,,,,,,,,,,,,,,,
# Run End Date/Time:,,,,,,,,,,,,,,,,,,,,
# Run Duration:,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 10.0,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,
# PCR Stage/Step Number: Stage 2 Step 2,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,
# Analysis Date/Time:,,,,,,,,,,,,,,,,,,,,
# Software Name and Version:,,,,,,,,,,,,,,,,,,,,
# Plugin Name and Version:,,,,,,,,,,,,,,,,,,,,
# Exported On:,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End
197,I5,FALSE,Control E,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.128744297,,,29.08859366,0.612881527,28.8362804,0.647186908,FALSE,0.1,TRUE,3,23
198,I6,FALSE,Control E,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.135128009,,,29.31930717,0.629766715,28.8362804,0.647186908,FALSE,0.1,TRUE,3,24
199,I7,FALSE,Control E,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.231213787,,,28.10094038,0.656199628,28.8362804,0.647186908,FALSE,0.1,TRUE,3,23
245,K5,FALSE,Control F,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.137031167,,,28.74116245,0.595938838,28.83957884,0.117631187,FALSE,0.1,TRUE,3,25
246,K6,FALSE,Control F,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.132032976,,,28.80771448,0.663036778,28.83957884,0.117631187,FALSE,0.1,TRUE,3,25
248,K8,FALSE,Control F,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.143920485,,,28.96985958,0.664159114,28.83957884,0.117631187,FALSE,0.1,TRUE,3,25
294,M6,FALSE,HELA,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.390468782,,,28.02750293,0.707314227,28.08306254,0.193761763,FALSE,0.1,TRUE,3,24
295,M7,FALSE,HELA,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.379335638,,,28.29853482,0.729236482,28.08306254,0.193761763,FALSE,0.1,TRUE,3,24
296,M8,FALSE,HELA,ICR1_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.384973947,,,27.92314986,0.710925263,28.08306254,0.193761763,FALSE,0.1,TRUE,3,23
341,O5,FALSE,NTC,ICR1_M,NTC,FAM,NFQ-MGB,No Amp,0,,,Undetermined,0,,,FALSE,0.1,TRUE,3,49
