# File Name: RSS_QS6_METHYLATION_001_010125_AB_GRB.eds,,,,,,,,,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,,,,,,,,,
# Operator: Admin,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,
# Instrument Type:,,,,,,,,,,,,,,,,,,,,
# Block Type: 384-Well Block,,,,,,,,,,,,,,,,,,,,
# Instrument Name:,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number:,,,,,,,,,,,,,,,,,,,,
# Heated Cover Serial Number:,,,,,,,,,,,,,,,,,,,,
# Block Serial Number:,,,,,,,,,,,,,,,,,,,,
# Run Start Date/Time:,,,,,,,,,,,,,,,,,,,,
# Run End Date/Time:,,,,,,,,,,,,,,,,,,,,
# Run Duration:,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 10.0,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,
# PCR Stage/Step Number: Stage 2 Step 2,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,
# Analysis Date/Time:,,,,,,,,,,,,,,,,,,,,
# Software Name and Version:,,,,,,,,,,,,,,,,,,,,
# Plugin Name and Version:,,,,,,,,,,,,,,,,,,,,
# Exported On:,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End
301,M13,FALSE,Control E,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.32231823,,,30.77181926,0.945814865,30.69468024,0.07783261,FALSE,0.2,TRUE,3,26
303,M15,FALSE,Control E,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.326866307,,,30.69604935,0.903524903,30.69468024,0.07783261,FALSE,0.2,TRUE,3,26
304,M16,FALSE,Control E,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.323613758,,,30.61617211,0.863383652,30.69468024,0.07783261,FALSE,0.2,TRUE,3,25
349,O13,FALSE,Control F,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.307949759,,,30.2052275,0.863683985,30.12177157,0.073017487,FALSE,0.2,TRUE,3,26
350,O14,FALSE,Control F,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.311569824,,,30.0696569,0.845091278,30.12177157,0.073017487,FALSE,0.2,TRUE,3,26
352,O16,FALSE,Control F,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.313113987,,,30.0904303,0.85106815,30.12177157,0.073017487,FALSE,0.2,TRUE,3,25
9,A9,FALSE,Control G,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.321249895,,,29.88917878,0.852459662,29.88598679,0.031320789,FALSE,0.2,TRUE,3,25
11,A11,FALSE,Control G,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.325786797,,,29.91558936,0.87945006,29.88598679,0.031320789,FALSE,0.2,TRUE,3,24
12,A12,FALSE,Control G,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.323698892,,,29.85319224,0.863768862,29.88598679,0.031320789,FALSE,0.2,TRUE,3,22
57,C9,FALSE,Control H,GRB_M,UNKNOWN,FAM,NFQ-MGB,Amp,1.31427796,,,29.35098696,0.815013146,29.47086713,0.141676501,FALSE,0.2,TRUE,3,22
